Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Con Style,Game Pwr,Raw Pwr,Spd,Fld,Versa,Hard Hit%,FV,PlayerId
"Adrian Del Castillo","C","ARI",30,2,"25.4555555","40 / 50",50,45,"Pull","45 / 55","55 / 55","20 / 20","30 / 40",,0.46,"50","29554"
"Nick Kurtz","1B","ATH",31,1,"21.9972222","35 / 55",60,60,"PoleToPole","35 / 60","65 / 65","30 / 30","35 / 55",,0.44,"50","sa3025385"
"Quinn Mathews","SP","STL",32,0,"24.4361111","",,,,"","","","",,,"50","sa3023407"
"Angel Genao","2B","CLE",33,0,"20.8111111","35 / 55",50,50,"GapToGap","30 / 55","45 / 55","50 / 50","40 / 50",,0.4,"50","sa3015706"
"Max Clark","CF","DET",34,2,"20.2222222","35 / 60",55,60,"SlashAndDash","30 / 45","40 / 45","70 / 70","40 / 50",,0.36,"50","sa3022683"
"Alex Freeland","SS","LAD",35,0,"23.5472222","40 / 50",60,45,"PoleToPole","40 / 55","55 / 55","50 / 50","45 / 45",,0.47,"50","sa3020653"
"Travis Bazzana","2B","CLE",36,0,"22.5361111","35 / 55",60,60,"Pull","35 / 55","50 / 55","60 / 60","30 / 40",,0.4,"50","sa3025129"
"Leodalis De Vries","SS","SDP",37,0,"18.4166666","20 / 45",50,40,"Pull","25 / 60","45 / 60","40 / 50","35 / 55",,0.36,"50","sa3023363"
"Jesus Made","2B","MIL",38,0,"17.8416666","25 / 55",60,60,"Pull","25 / 60","45 / 60","50 / 45","40 / 50","2B/SS/3B",0.47,"50","sa3024108"
"Alejandro Rosario","SP","TEX",39,0,"23.1805555","",,,,"","","","",,,"50","sa3023538"
"AJ Smith-Shawver","SP","ATL",40,2,"22.3083333","",,,,"","","","",,,"50","29960"
"Colt Emerson","3B","SEA",41,0,"19.6416666","25 / 55",60,55,"PoleToPole","20 / 50","45 / 50","40 / 40","30 / 50","2B/3B",0.39,"50","sa3022923"
"Chase Petty","SP","CIN",42,0,"21.9361111","",,,,"","","","",,,"50","sa3017963"
"Agustin Ramirez","C","MIA",43,0,"23.5027777","40 / 45",40,50,"GapToGap","40 / 60","60 / 65","30 / 30","40 / 45","C/1B",0.46,"50","sa3009276"
"Thayron Liranzo","C","DET",44,3,"21.6833333","30 / 40",60,35,"Pull","35 / 60","60 / 70","30 / 30","30 / 45","C/1B",0.5,"50","sa3015790"
"Coby Mayo","1B","BAL",45,0,"23.2527777","30 / 40",50,45,"Pull","55 / 65","70 / 70","50 / 40","30 / 40",,0.41,"50","28312"
"Kevin Alcántara","CF","CHC",46,2,"22.6638888","30 / 35",30,40,"InsideOut","45 / 60","60 / 70","60 / 60","50 / 60","OF",0.49,"50","25971"
"Jac Caglianone","RF","KCR",47,0,"22.0888888","30 / 40",30,40,"GapToGap","35 / 65","70 / 80","40 / 40","30 / 50",,0.52,"50","sa3025245"
"Josue De Paula","LF","LAD",48,0,"19.7972222","20 / 40",60,40,"InsideOut","20 / 60","55 / 70","45 / 45","20 / 40",,0.46,"50","sa3018591"
"Kyle Teel","C","CHW",49,0,"23.0722222","40 / 45",60,45,"PoleToPole","40 / 55","45 / 50","45 / 40","45 / 55",,0.36,"50","sa3022886"
"Josue Briceño","C","DET",50,4,"20.4666666","30 / 50",55,50,"GapToGap","30 / 50","50 / 60","30 / 30","40 / 55","C/1B",0.41,"50","sa3018584"
"Rhett Lowder","SP","CIN",51,0,"23.0083333","",,,,"","","","",,,"50","33876"
"Jacob Wilson","SS","ATH",52,2,"22.9472222","60 / 70",30,80,"InsideOut","30 / 35","35 / 40","45 / 45","45 / 50",,0.24,"50","33266"
"Cooper Ingle","C","CLE",53,0,"23.05","50 / 60",70,60,"GapToGap","30 / 35","35 / 40","50 / 50","45 / 55",,0.32,"50","sa3023069"
"Kevin McGonigle","SS","DET",54,5,"20.5638888","35 / 55",55,60,"GapToGap","30 / 45","40 / 45","55 / 55","40 / 50","2B/SS",0.41,"50","sa3022895"
"Chase DeLauter","RF","CLE",55,0,"23.425","40 / 50",60,50,"PoleToPole","40 / 60","55 / 60","45 / 40","40 / 40",,0.42,"50","sa3021053"
"Luke Keaschall","CF","MIN",56,0,"22.5722222","45 / 55",60,55,"Pull","35 / 50","40 / 50","55 / 55","30 / 40",,0.21,"50","sa3022614"
"Marcelo Mayer","SS","BOS",57,0,"22.2472222","30 / 35",40,30,"PoleToPole","45 / 55","55 / 60","40 / 40","40 / 50",,0.5,"50","sa3017114"
"Colson Montgomery","SS","CHW",58,0,"23.0388888","30 / 40",70,40,"Pull","45 / 55","55 / 60","40 / 40","30 / 40","SS/3B",0.34,"50","sa3017170"
"Kumar Rocker","SP","TEX",59,0,"25.3027777","",,,,"","","","",,,"50","31843"
"Braxton Ashcraft","SP","PIT",60,0,"25.4333333","",,,,"","","","",,,"50","sa3008470"
"Yoniel Curet","SP","TBR",61,2,"22.3555555","",,,,"","","","",,,"50","sa3015446"
"Jett Williams","CF","NYM",62,0,"21.3555555","30 / 40",60,40,"GapToGap","30 / 50","50 / 55","70 / 70","40 / 60","SS/CF",0.37,"50","sa3020134"
"JJ Wetherholt","SS","STL",63,0,"22.5027777","35 / 50",60,60,"InsideOut","35 / 50","50 / 50","50 / 50","40 / 45","2B/SS",0.55,"50","sa3025154"
"Tink Hence","SP","STL",64,0,"22.5972222","",,,,"","","","",,,"50","sa3014709"
"Will Warren","SP","NYY",65,2,"25.7361111","",,,,"","","","",,,"50","30182"
"Jake Bloss","SP","TOR",66,0,"23.7166666","",,,,"","","","",,,"50","33168"
"Parker Messick","SP","CLE",67,0,"24.375","",,,,"","","","",,,"50","sa3020748"
"Carter Jensen","C","KCR",68,0,"21.6888888","30 / 40",60,40,"PoleToPole","45 / 55","55 / 60","40 / 40","40 / 50",,0.49,"50","sa3017339"
"Joe Mack","C","MIA",69,0,"22.2055555","20 / 30",40,30,"PoleToPole","35 / 50","55 / 60","45 / 40","40 / 55",,0.44,"50","sa3017374"
"Cam Smith","3B","HOU",70,0,"22.0527777","30 / 45",50,45,"InsideOut","40 / 60","60 / 70","40 / 40","30 / 55",,0.43,"50","sa3025358"
"Chayce McDermott","SP","BAL",71,0,"26.5527777","",,,,"","","","",,,"50","29866"
"Chandler Simpson","CF","TBR",72,3,"24.3138888","60 / 70",55,70,"Slash&Dash","20 / 20","30 / 30","80 / 80","40 / 60","OF",0.14,"50","sa3020219"
"Yilber Diaz","SP","ARI",73,3,"24.5611111","",,,,"","","","",,,"50","29271"
"Moisés Chace","SP","PHI",74,3,"21.7555555","",,,,"","","","",,,"50","sa3015346"
"Brody Hopkins","SP","TBR",75,4,"23.1472222","",,,,"","","","",,,"50","sa3023515"
"Cole Young","SS","SEA",76,0,"21.6333333","50 / 60",60,60,"GapToGap","35 / 40","45 / 45","50 / 50","40 / 45","2B/SS",0.33,"50","sa3020459"
"Jimmy  Crooks","C","STL",77,0,"23.6444444","35 / 45",60,45,"Oppo","40 / 45","50 / 50","20 / 20","50 / 60",,0.45,"50","sa3019841"
"Juan Brito","2B","CLE",78,0,"23.4638888","50 / 55",40,60,"GapToGap","40 / 45","45 / 50","50 / 50","40 / 45","1B/2B/RF",0.33,"50","sa3009808"
"Cade Horton","SP","CHC",79,3,"23.5583333","",,,,"","","","",,,"50","sa3020860"
"Troy Melton","SP","DET",80,6,"24.2722222","",,,,"","","","",,,"50","sa3020652"
"Jefferson Rojas","SS","CHC",81,4,"19.8777777","25 / 50",40,55,"GapToGap","25 / 50","40 / 50","45 / 45","30 / 45","2B/SS",0.35,"50","sa3018571"
"Arjun Nimmala","SS","TOR",82,0,"19.4027777","20 / 40",50,45,"Pull","25 / 60","55 / 70","45 / 40","30 / 45",,0.43,"50","sa3022892"
"Thomas White","SP","MIA",83,0,"20.45","",,,,"","","","",,,"50","sa3023268"
"Travis Sykora","SP","WSN",84,0,"20.8694444","",,,,"","","","",,,"50","sa3023557"
"Felnin Celesten","2B","SEA",85,0,"19.4888888","20 / 45",55,45,"GapToGap","20 / 55","50 / 60","50 / 40","35 / 50",,0.48,"50","sa3023381"
"Tre' Morgan","1B","TBR",86,5,"22.6527777","35 / 55",40,55,"Oppo","30 / 40","45 / 45","50 / 50","70 / 80",,0.4,"50","sa3022919"
"Starlyn Caba","SS","MIA",87,0,"19.2638888","25 / 70",55,70,"SlashAndDash","20 / 30","30 / 40","60 / 60","45 / 80",,0.19,"50","sa3021070"
"Welbyn Francisca","2B","CLE",88,0,"18.8166666","25 / 60",60,60,"Pull","20 / 40","30 / 45","60 / 60","30 / 50",,0.31,"50","sa3021087"
"Jedixson Paez","SP","BOS",89,0,"21.15","",,,,"","","","",,,"50","sa3016264"
"Edgar Quero","C","CHW",90,0,"21.9305555","40 / 50",45,50,"GapToGap","40 / 50","45 / 50","30 / 30","40 / 45",,0.41,"50","sa3015239"
"Edgardo Henriquez","SIRP","LAD",91,0,"22.7138888","",,,,"","","","",,,"50","26944"
"Tai Peete","CF","SEA",92,0,"19.5833333","20 / 40",50,40,"Pull","25 / 60","50 / 60","55 / 55","30 / 50",,0.37,"50","sa3022966"
"George Klassen","SP","LAA",93,2,"23.125","",,,,"","","","",,,"50","sa3023440"
"Grant Taylor","SP","CHW",94,0,"22.8083333","",,,,"","","","",,,"50","sa3023634"
"Carson Whisenhunt","SP","SFG",95,2,"24.3916666","",,,,"","","","",,,"50","sa3020529"
"Luis Morales","SP","ATH",96,3,"22.4638888","",,,,"","","","",,,"50","sa3021487"
"Noble Meyer","SP","MIA",97,0,"20.1694444","",,,,"","","","",,,"50","sa3022945"
"Xavier Isaac","1B","TBR",98,6,"21.2333333","20 / 30",50,20,"Oppo","40 / 70","70 / 80","40 / 40","30 / 45",,0.57,"50","sa3020498"
"Jeferson Quero","C","MIL",99,0,"22.425","30 / 40",30,55,"Pull","40 / 55","50 / 60","40 / 40","40 / 50",,0.38,"50","sa3015407"
"Jonny Farmelo","CF","SEA",100,0,"20.5055555","30 / 45",40,40,"Pull","30 / 55","50 / 60","70 / 70","45 / 55",,0.39,"50","sa3023362"
"River Ryan","SP","LAD",101,0,"26.5666666","",,,,"","","","",,,"50","29514"
"Ricky Tiedemann","SP","TOR",102,0,"22.5638888","",,,,"","","","",,,"50","sa3018096"
"Kevin Alvarez","1B/LF","HOU",,0,"17.1611111","20 / 45",,50,,"25 / 60","40 / 60","50 / 40","30 / 50",,,"45+",
"Braden Montgomery","RF","CHW",,0,"21.9027777","30 / 40",55,35,"PoleToPole","35 / 60","60 / 65","50 / 50","35 / 60",,,"45+","sa3038253"
"Elian Peña","3B","NYM",,0,"17.3944444","25 / 55",,55,,"25 / 60","55 / 60","40 / 30","30 / 40",,,"45+",
"Matt Wilkinson","SP","CLE",,0,"22.2527777","",,,,"","","","",,,"45+","sa3023171"
"Cristopher Polanco","SS","TOR",,0,"17.1888888","25 / 60",,60,,"20 / 40","30 / 40","60 / 60","45 / 60",,,"45",
"Yorger Bautista","CF","SEA",,0,"17.4777777","25 / 60",,60,,"20 / 45","30 / 45","60 / 60","40 / 50",,,"45",
"Matt Koperniak","LF","STL",,0,"27.0916666","40 / 45",40,55,"InsideOut","40 / 50","50 / 50","55 / 55","55 / 55","LF/RF",0.43,"45","sa3014834"
"Austin Peterson","SP","CLE",,0,"25.4777777","",,,,"","","","",,,"45","sa3020868"
"Andrew Salas","SS","MIA",,0,"17.0194444","20 / 50",,50,,"20 / 45","40 / 55","60 / 60","45 / 60",,,"45",
"Alan Roden","LF","TOR",,0,"25.2194444","50 / 60",40,65,"PoleToPole","40 / 45","45 / 45","40 / 40","40 / 45","LF/RF",0.37,"45","sa3020212"
"Deivid Coronil","SS","SDP",,0,"17.4361111","20 / 40",,45,,"20 / 45","30 / 50","55 / 55","40 / 55",,,"40+",
"Daniel Hernandez","C","WSN",,0,"17.0694444","20 / 55",,50,,"20 / 50","35 / 50","40 / 40","30 / 40",,,"40+",
"Ethan Pecko","SP","HOU",,0,"22.5444444","",,,,"","","","",,,"40+","sa3022997"
"Wikelman Gonzalez","MIRP","CHW",,0,"22.9611111","",,,,"","","","",,,"40+","sa3008687"
"Jack Dreyer","SIRP","LAD",,0,"26.0388888","",,,,"","","","",,,"40+","sa3018789"
"Johan De Los Santos","CF","PIT",,0,"16.6305555","20 / 40",,40,,"20 / 40","20 / 45","80 / 80","30 / 50",,,"40+",
"Dorian Soto","SS","BOS",,0,"17.075","20 / 40",,40,,"20 / 50","45 / 60","55 / 60","40 / 45",,,"40+",
"Jhoan De La Cruz","SS","SDP",,0,"17.3194444","25 / 50",,50,,"20 / 40","30 / 45","55 / 55","40 / 50",,,"40",
"Juan Sanchez","SS","TOR",,0,"17.4555555","20 / 40",,40,,"25 / 50","45 / 55","40 / 40","40 / 45",,,"40",
"Kenny Fenelon","CF","MIL",,0,"17.4472222","20 / 30",,30,,"25 / 45","50 / 60","60 / 60","40 / 50",,,"40",
"Caleb Durbin","3B","MIL",,0,"25.0527777","50 / 55",45,60,"Pull","30 / 35","40 / 40","60 / 60","45 / 50","2B/3B/LF",0.25,"40","sa3017183"
"Kendry Martinez","2B","SEA",,0,"17.4416666","20 / 50",,45,,"20 / 45","30 / 45","40 / 40","30 / 50",,,"40",
"Brayan Cortesia","SS","WSN",,0,"17.325","20 / 50",,50,,"20 / 40","40 / 45","45 / 45","40 / 45",,,"40",
"Eiberson Castellano","SIRP","MIN",,0,"23.8388888","",,,,"","","","",,,"40","sa3015414"
"Chase Meidroth","SS","CHW",,0,"23.6333333","55 / 60",60,70,"InsideOut","20 / 30","40 / 40","40 / 40","40 / 40","2B/SS/3B",0.34,"40","sa3020011"
"Warren Calcaño","SS","KCR",,0,"17.4","20 / 50",,50,,"20 / 40","20 / 40","50 / 60","40 / 50",,,"40",
"Royel Strop","CF","STL",,0,"16.7694444","20 / 40",,40,,"20 / 45","40 / 55","60 / 60","40 / 50",,,"40",
"Jose Luis Peña","SS","BAL",,0,"16.5694444","",,,,"","","","",,,"40",
"William Kempner","SIRP","MIA",,0,"23.7305555","",,,,"","","","",,,"40","sa3020527"
"Brayan Mendoza","SP","MIA",,0,"21.1444444","",,,,"","","","",,,"40","sa3015477"
"Darell Morel","3B","PIT",,0,"17.4888888","20 / 40",,40,,"20 / 50","40 / 60","50 / 50","30 / 50",,,"40",
"Harold Rivas","CF","BOS",,0,"16.8361111","20 / 40",,40,,"20 / 45","40 / 55","60 / 60","45 / 60",,,"40",
"Christopher Acosta","SS","MIL",,0,"17.1194444","20 / 45",,45,,"20 / 30","30 / 40","50 / 50","40 / 50",,,"35+",
"Chad Patrick","SP","MIL",,0,"26.575","",,,,"","","","",,,"35+","sa3017933"
"Haritzon Castillo","SS","MIN",,0,"16.9666666","25 / 55",,55,,"20 / 35","30 / 40","55 / 55","40 / 50",,,"35+",
"Santiago Leon","SS","MIN",,0,"16.7111111","20 / 45",,45,,"20 / 40","40 / 45","50 / 50","40 / 50",,,"35+",
"Diego Cartaya","C","MIN",,0,"23.5111111","20 / 30",50,30,"Pull","30 / 45","40 / 50","30 / 30","40 / 45",,0.33,"35+","sa3008742"
"Alejandro Cruz","3B","CHW",,0,"18.1916666","20 / 40",,40,,"20 / 40","30 / 45","40 / 40","35 / 60",,,"35+",
"Juan Carela","SIRP","CHW",,0,"23.2388888","",,,,"","","","",,,"35+","sa3009237"
"Matt Svanson","SIRP","STL",,0,"26.1138888","",,,,"","","","",,,"35+","sa3017070"
"Lieberts Aponte","SS","CIN",,0,"17.3416666","20 / 40",,30,,"20 / 30","20 / 35","55 / 55","45 / 60",,,"35+",
"Cooper Bowman","CF","CIN",,0,"25.1277777","40 / 45",45,55,"Pull","30 / 35","45 / 50","60 / 60","50 / 55","2B/CF",0.28,"35+","sa3016966"
"Nick Mitchell","RF","CLE",,0,"21.5222222","35 / 55",50,60,"GapToGap","30 / 35","40 / 40","50 / 50","30 / 40",,0.23,"35+","sa3025315"
"Jose Vasquez","SIRP","LAD",,0,"20.2472222","",,,,"","","","",,,"35+","sa3022116"
"Elorky Rodriguez","LF","TEX",,0,"17.2083333","25 / 55",,55,,"20 / 40","40 / 45","45 / 45","30 / 50",,,"35+",
"Kevin Defrank","SP","MIA",,0,"16.5833333","",,,,"","","","",,,"35+",
"Echedry Vargas","2B","MIA",,0,"20.0388888","20 / 30",20,50,"Pull","35 / 45","40 / 45","55 / 55","40 / 50",,0.33,"35+","sa3018565"
"Liam Hicks","C","MIA",,0,"25.775","55 / 60",55,70,"GapToGap","30 / 30","30 / 30","30 / 30","30 / 40","C/1B",0.25,"35+","sa3017400"
"Luarbert Arias","SP","MIA",,0,"24.2472222","",,,,"","","","",,,"35+","sa3007599"
"Justin Hagenman","SP","NYM",,0,"28.4277777","",,,,"","","","",,,"35","sa3008022"
"Blake Mitchell","C","KCR",,0,"20.6055555","20 / 30",55,30,"Pull","25 / 55","50 / 60","45 / 35","30 / 50",,0.36,"45+","sa3022756"
"Charlie Condon","3B","COL",,2,"21.9083333","30 / 30",40,30,"PoleToPole","30 / 60","70 / 70","40 / 40","30 / 40","3B/LF",0.36,"45+","sa3025257"
"Josuar De Jesus Gonzalez","SS","SFG",,3,"17.2472222","20 / 50",,45,"GapToGap","40 / 55","45 / 55","60 / 60","40 / 50","SS/CF",,"45+",
"Christian Moore","2B","LAA",,3,"22.3888888","30 / 40",40,40,"PoleToPole","40 / 55","60 / 60","50 / 50","30 / 40",,0.51,"45+","sa3025168"
"Spencer Jones","CF","NYY",,3,"23.825","20 / 30",50,30,"Oppo","50 / 60","70 / 70","60 / 60","40 / 45",,0.57,"45+","sa3019969"
"Cam Caminiti","SP","ATL",,3,"18.5916666","",,,,"","","","",,,"45+","sa3025607"
"Brody Brecht","SP","COL",,3,"22.4555555","",,,,"","","","",,,"45+",
"Konnor Griffin","RF","PIT",,0,"18.8805555","20 / 40",50,40,"InsideOut","20 / 55","55 / 60","70 / 70","35 / 55",,,"45+","sa3065496"
"Jansel Luis","SS","ARI",,4,"20.0138888","20 / 40",30,50,"PoleToPole","25 / 55","45 / 60","50 / 50","40 / 55","2B/3B/SS",0.34,"45+","sa3018508"
"Denzel Clarke","CF","ATH",,4,"24.8611111","20 / 30",40,30,"InsideOut","40 / 45","60 / 70","70 / 70","60 / 70","LF/CF",0.48,"45+","sa3017426"
"Owen Murphy","SP","ATL",,4,"21.4555555","",,,,"","","","",,,"45+","sa3020330"
"Jared Serna","2B","MIA",,0,"22.7777777","35 / 50",45,55,"PoleToPole","30 / 50","45 / 50","60 / 60","45 / 60","2B/SS/LF",0.46,"45+","sa3015579"
"James Tibbs III","RF","SFG",,4,"22.4444444","35 / 45",40,50,"PoleToPole","35 / 50","50 / 50","50 / 50","40 / 50","LF/RF",0.37,"45","sa3025333"
"Nelson Rada","CF","LAA",,4,"19.5444444","25 / 50",50,45,"Slash&Dash","20 / 30","30 / 40","60 / 60","45 / 60","LF/CF/RF",0.27,"45","sa3018421"
"George Lombard Jr.","SS","NYY",,4,"19.775","20 / 40",50,55,"GapToGap","20 / 50","45 / 55","55 / 55","40 / 50",,0.37,"45","sa3023233"
"Jean Cabrera","SP","PHI",,4,"23.3916666","",,,,"","","","",,,"45","sa3015433"
"Adael Amador","2B","COL",,4,"21.9166666","45 / 55",55,60,"Pull/Gaps","30 / 40","40 / 40","40 / 40","40 / 40",,0.36,"45","27962"
"Winston Santos","SP","TEX",,0,"22.9055555","",,,,"","","","",,,"45","sa3015952"
"Trey Yesavage","SP","TOR",,0,"21.6194444","",,,,"","","","",,,"45","sa3045705"
"Tekoah Roby","MIRP","STL",,0,"23.4805555","",,,,"","","","",,,"40+","sa3014519"
"Diego Tornes","LF","ATL",,5,"16.6888888","25 / 50",,55,,"25 / 60","50 / 60","45 / 40","30 / 40",,,"45+","sa3066458"
"James Triantos","2B","CHC",,5,"22.1166666","55 / 70",40,70,"PoleToPole","30 / 35","40 / 40","50 / 50","35 / 40","2B/LF",0.31,"45","sa3017295"
"Marco Raya","MIRP","MIN",,0,"22.5944444","",,,,"","","","",,,"45","sa3014550"
"Gino Groover","3B","ARI",,5,"22.9027777","40 / 50",45,55,"InsideOut","35 / 45","40 / 45","55 / 55","35 / 50","1B/2B/3B",0.31,"45","sa3022887"
"Trevor McDonald","SP","SFG",,5,"24.0416666","",,,,"","","","",,,"45","26448"
"J.T. Ginn","SP","ATH",,5,"25.8083333","",,,,"","","","",,,"45","27889"
"Sam Aldegheri","SP","LAA",,5,"23.5055555","",,,,"","","","",,,"45","26443"
"Cam Schlittler","SP","NYY",,5,"24.1","",,,,"","","","",,,"45","sa3021981"
"Eduardo Tait","C","PHI",,5,"18.5388888","20 / 40",40,40,"Pull","25 / 55","50 / 60","30 / 30","30 / 40",,0.39,"45","sa3022162"
"Yanquiel Fernandez","RF","COL",,5,"22.1944444","30 / 40",30,40,"GapToGap","45 / 55","60 / 70","40 / 30","30 / 40","LF/RF",0.44,"45","sa3015648"
"Moises Ballesteros","C","CHC",,6,"21.3416666","40 / 50",40,50,"InsideOut","40 / 50","50 / 50","20 / 20","30 / 40","C/1B",0.38,"45","sa3015713"
"Demetrio Crisantes","2B","ARI",,6,"20.5166666","35 / 55",50,55,"InsideOut","30 / 40","40 / 45","40 / 40","35 / 60","1B/2B/3B",0.36,"45","sa3021051"
"Mason Barnett","SP","ATH",,6,"24.3444444","",,,,"","","","",,,"45","sa3020622"
"Elmer Rodriguez-Cruz","SP","NYY",,6,"21.5638888","",,,,"","","","",,,"45","sa3019459"
"Hurston Waldrep","SP","ATL",,6,"23.0277777","",,,,"","","","",,,"45","33527"
"Brandon Young","SP","BAL",,0,"26.5611111","",,,,"","","","",,,"45","sa3014926"
"Carson Palmquist","SP","COL",,6,"24.4","",,,,"","","","",,,"45","sa3020473"
"Carson Seymour","MIRP","SFG",,6,"26.2361111","",,,,"","","","",,,"40+","sa3017868"
"Samy Natera Jr.","SIRP","LAA",,6,"25.35","",,,,"","","","",,,"40+","sa3020862"
"Aroon Escobar","2B","PHI",,6,"20.1944444","35 / 55",50,60,"GapToGap","30 / 50","45 / 50","50 / 50","30 / 45","2B/3B",0.48,"40+","sa3018463"
"Brayden Taylor","3B","TBR",,7,"22.8027777","30 / 35",60,30,"Pull","35 / 55","45 / 50","50 / 50","55 / 60","2B/3B/SS",0.36,"45+","sa3022921"
"Zyhir Hope","LF","LAD",,0,"18.7","20 / 40",50,35,"Oppo","25 / 60","65 / 70","60 / 60","30 / 35",,0.45,"45+","sa3022703"
"Bryce Rainer","SS","DET",,7,"19.6888888","20 / 40",50,40,"InsideOut","25 / 55","45 / 60","55 / 55","40 / 55",,,"45+","sa3066592"
"Owen Caissie","RF","CHC",,7,"22.675","30 / 35",60,30,"InsideOut","55 / 60","60 / 70","40 / 30","30 / 50","LF/RF",0.43,"45","sa3014465"
"Adriel Radney","CF","ARI",,7,"17.7166666","20 / 50",50,50,"Grounders","20 / 50","40 / 60","60 / 55","40 / 50","OF",0.21,"45","sa3023886"
"Steven Echavarria","SP","ATH",,7,"19.5972222","",,,,"","","","",,,"45","sa3023560"
"Edgleen Perez","C","NYY",,7,"18.7944444","25 / 50",70,50,"GapToGap","20 / 45","40 / 45","40 / 40","45 / 55",,0.45,"45","sa3021330"
"Nacho Alvarez Jr.","3B","ATL",,7,"21.9166666","45 / 60",80,55,"InsideOut","30 / 35","40 / 40","30 / 30","55 / 60",,0.34,"45","31765"
"Gabriel Hughes","SP","COL",,7,"23.5527777","",,,,"","","","",,,"45","sa3020661"
"Emiliano Teodo","SIRP","TEX",,0,"24.075","",,,,"","","","",,,"45","sa3015158"
"Joe Whitman","SP","SFG",,7,"23.4833333","",,,,"","","","",,,"40+","sa3023131"
"Barrett Kent","SP","LAA",,7,"20.45","",,,,"","","","",,,"40+","sa3023082"
"Michael Mercado","MIRP","PHI",,7,"25.9055555","",,,,"","","","",,,"40+","23223"
"Gary Gill Hill","SP","TBR",,8,"20.475","",,,,"","","","",,,"45+","sa3020972"
"Brandon Birdsell","SP","CHC",,8,"24.9666666","",,,,"","","","",,,"45","sa3020797"
"Ryan Sloan","SP","SEA",,0,"19.1166666","",,,,"","","","",,,"45",
"Cristian Mena","SP","ARI",,8,"22.2222222","",,,,"","","","",,,"45","27974"
"Chase Hampton","SP","NYY",,8,"23.5944444","",,,,"","","","",,,"45","sa3020682"
"Drue Hackenberg","SP","ATL",,8,"22.9444444","",,,,"","","","",,,"45","sa3023304"
"Jordy Vargas","SP","COL",,8,"21.3472222","",,,,"","","","",,,"45","sa3016052"
"Dax Fulton","SP","MIA",,0,"23.4027777","",,,,"","","","",,,"45","sa3014535"
"Trey Sweeney","SS","DET",,8,"24.8805555","40 / 40",60,40,"PoleToPole","40 / 45","55 / 55","40 / 40","40 / 45",,0.46,"45","29575"
"Jhonny Level","2B","SFG",,8,"17.95","25 / 50",50,50,"GapToGap","25 / 50","45 / 50","50 / 50","30 / 50",,0.31,"40+","sa3023898"
"Max Muncy","SS","ATH",,8,"22.5444444","30 / 40",40,40,"InsideOut","35 / 45","50 / 55","50 / 50","45 / 50","2B/SS",0.43,"40+","sa3017290"
"Denzer Guzman","SS","LAA",,8,"21.0916666","20 / 30",40,30,"InsideOut","30 / 40","45 / 55","60 / 60","45 / 60",,0.32,"40+","sa3015711"
"Justin Crawford","CF","PHI",,8,"21.1611111","30 / 50",40,40,"InsideOut","20 / 30","45 / 55","70 / 70","40 / 45","OF",0.42,"40+","sa3020240"
"Theo Gillen","CF","TBR",,9,"19.4972222","25 / 60",50,60,"GapToGap","20 / 50","45 / 50","55 / 55","30 / 40",,,"45+","sa3025565"
"Tommy Troy","SS","ARI",,9,"23.15","30 / 35",55,30,"Oppo","30 / 45","45 / 50","80 / 80","40 / 50","2B/3B/SS",0.36,"45","sa3022561"
"JR Ritchie","SP","ATL",,9,"21.7083333","",,,,"","","","",,,"45","sa3020395"
"Sterlin Thompson","LF","COL",,9,"23.7083333","40 / 50",40,55,"PoleToPole","40 / 50","50 / 50","40 / 40","30 / 30","1B/LF",0.37,"45","sa3019999"
"Jace Jung","3B","DET",,9,"24.4361111","30 / 40",45,40,"PoleToPole","45 / 55","55 / 55","30 / 30","30 / 40",,0.36,"45","31437"
"Eriandys Ramon","3B","CHC",,9,"22.1777777","30 / 50",30,55,"GapToGap","30 / 45","35 / 45","40 / 40","35 / 60","1B/2B/3B/SS",0.32,"40+","sa3022256"
"Rayner Arias","RF","SFG",,9,"18.8666666","20 / 40",50,30,"InsideOut","20 / 55","45 / 60","60 / 50","35 / 60","LF/RF",0.24,"40+","sa3021076"
"Tommy White","3B","ATH",,9,"22.025","30 / 40",30,50,"InsideOut","40 / 55","60 / 60","40 / 40","40 / 50","1B/3B",0.32,"40+","sa3025383"
"Joel Hurtado","SIRP","LAA",,9,"24.0972222","",,,,"","","","",,,"40+","sa3019774"
"Bryce Cunningham","SP","NYY",,9,"22.225","",,,,"","","","",,,"40+",
"Alex McFarlane","SIRP","PHI",,9,"23.7555555","",,,,"","","","",,,"40+","sa3020633"
"Juan Nuñez","SP","SDP",,0,"24.2611111","",,,,"","","","",,,"40+","sa3015464"
"Tyler Callihan","2B","CIN",,0,"24.7194444","30 / 40",40,40,"Pull","40 / 45","55 / 55","50 / 50","30 / 35","2B/LF",0.42,"35+","sa1169610"
"Brailer Guerrero","RF","TBR",,10,"18.7111111","20 / 40",45,45,"Oppo","25 / 55","50 / 60","45 / 40","30 / 50",,0.43,"45+","sa3021072"
"Ryan Waldschmidt","LF","ARI",,10,"22.4277777","30 / 40",55,40,"PoleToPole","30 / 55","55 / 60","60 / 60","30 / 45",,0.32,"45","sa3025261"
"Austin Charles","3B","KCR",,0,"21.3277777","20 / 35",20,40,"Pull","20 / 55","45 / 60","55 / 55","40 / 55",,0.33,"45","sa3020497"
