Location,Nickname,Abbreviation
Centreville,Blue Sox,CNT
East Carolina,Bucs,ECA
Fairfax,Flying Squirrels,FFX
Iowa,Cubs,IWA
Levittown,Panthers,LVT
Lewisberg,All-Blacks,LEW
Midlothian,Deadheads,MID
Northern Virginia,River Rats,NVA
Richmond,Hippies,RCH
South Carolina,Ballcocks,SCA
Southern,Playaz,SOU
Wrigleyville,Fielders,WRI
